locality_name,locality_tipe,region
Леващово,поселок,Выборгский
Парголово,поселок,Выборгский
Колпино,город,Колпинский
Металлострой,поселок,Колпинский
Петро-Славянка,поселок,Колпинский
Понтонный,поселок,Колпинский
Саперный,поселок,Колпинский
Усть-Ижора,поселок,Колпинский
Красное Село,город,Красносельский
Кронштадт,город,Кронштадтский
Белоостров,поселок,Курортный
Зеленогорск,город,Курортный
Комарово,поселок,Курортный
Молодежное,поселок,Курортный
Песочный,поселок,Курортный
Репино,поселок,Курортный
Серово,поселок,Курортный
Сестрорецк,город,Курортный
Смолячково,поселок,Курортный
Солнечное,поселок,Курортный
Ушково,поселок,Курортный
Ломоносов,город,Петродворцовый
Петергоф,город,Петродворцовый
Стрельна,поселок,Петродворцовый
Лисий Нос,поселок,Приморский
Александровская,поселок,Пушкинский
Павловск,город,Пушкинский
Пушкин,город,Пушкинский
Тярлево,поселок,Пушкинский
Шушары,поселок,Пушкинский
